"seba,",2
"sabtah,",1
"raamah,",3
sabtechah,1
raamah;,2
"sheba,",12
dedan.,4
108,35
cush,2
nimrod,4
109,35
hunter,2
wherefore,323
1010,35
kingdom,260
"babel,",1
"erech,",1
"accad,",1
"calneh,",2
shinar.,1
1011,36
"asshur,",5
"nineveh,",6
city,498
"rehoboth,",1
"calah,",1
1012,35
resen,1
nineveh,9
calah,1
city.,80
1013,34
mizraim,2
"ludim,",2
"anamim,",2
"lehabim,",2
"naphtuhim,",2
1014,34
"pathrusim,",2
"casluhim,",2
(out,1
"philistim,)",1
caphtorim.,1
1015,33
sidon,4
"born,",13
"heth,",7
1016,32
"jebusite,",3
"amorite,",9
"girgasite,",1
1017,32
"hivite,",7
"arkite,",2
"sinite,",2
1018,32
"arvadite,",2
"zemarite,",2
hamathite,1
afterward,57
families,107
canaanites,25
spread,107
abroad.,10
1019,28
border,141
"sidon,",8
comest,27
"gerar,",3
gaza;,2
"goest,",6
"sodom,",16
"gomorrah,",9
"admah,",4
"zeboim,",3
lasha.,1
1020,26
"tongues,",13
"countries,",14
1021,25
"also,",148
"eber,",4
"elder,",4
born.,8
1022,23
"elam,",17
"arphaxad,",4
"lud,",3
aram.,2
1023,20
aram;,2
"uz,",6
"hul,",2
"gether,",2
mash.,1
1024,20
arphaxad,6
salah;,1
salah,5
eber.,2
1025,20
eber,6
peleg;,2
divided;,4
joktan.,4
1026,19
joktan,2
"almodad,",2
"sheleph,",2
"hazarmaveth,",2
"jerah,",2
1027,19
"hadoram,",1
"uzal,",2
"diklah,",2
1028,18
"obal,",1
"abimael,",2
1029,18
"ophir,",8
jobab,6
1030,15
dwelling,49
"mesha,",2
goest,33
sephar,1
mount,224
east.,8
1031,16
"lands,",14
1032,16
nations,203
"language,",13
speech.,5
journeyed,23
"east,",35
plain,44
shinar;,1
there.,84
"another,",105
"to,",9
"brick,",3
burn,133
thoroughly.,1
brick,3
"stone,",53
slime,2
morter.,1
build,154
"tower,",11
top,89
reach,15
"name,",123
scattered,54
abroad,51
down,882
builded.,5
people,1339
"one,",58
language;,5
begin,26
nothing,158
restrained,7
imagined,2
do.,55
"down,",181
confound,5
understand,64
another’s,4
left,275
babel;,1
language,7
scatter,38
1110,33
1111,32
daughters.,28
1112,32
1113,31
1114,31
1115,31
1116,30
peleg,4
1117,29
1118,28
reu,4
1119,28
1120,26
serug,4
1121,26
1122,25
nahor,6
1123,25
1124,22
terah,9
1125,22
nineteen,3
1126,21
"abram,",14
"nahor,",6
haran.,4
1127,21
haran;,3
haran,5
lot.,8
1128,20
"nativity,",4
ur,4
chaldees.,2
1129,20
abram,36
abram’s,7
sarai;,1
nahor’s,2
"milcah,",9
daughter,258
